------------------------------,--------------------
www.electricblue.eu, Portugal
------------------------------,--------------------
EnvLogger version, 2.4
EnvLogger Viewer version, 1.16
downloading device type, iphone
device, Laser Revolution
downloading mode, manual
------------------------------,--------------------
serial number, 04BB FA00 CD56 0D
custom name, SHe4fiddle
temperature, degrees Celsius
time zone, UTC+0000
sampling resolution, 0.1
samples, 4809
time diff [logger-smartphone](sec), 92
lat, 22.317291
long, 114.228048
accuracy (m), 65.0
------------------------------,--------------------
time,temp
2021-08-15 01:04:06,27.2
2021-08-15 01:19:06,27.9
2021-08-15 01:34:06,28.6
2021-08-15 01:49:06,28.4
2021-08-15 02:04:06,28.9
2021-08-15 02:19:06,30.9
2021-08-15 02:34:06,31.1
2021-08-15 02:49:06,29.8
2021-08-15 03:04:06,28.8
2021-08-15 03:19:06,29.3
2021-08-15 03:34:06,31.7
2021-08-15 03:49:06,31.5
2021-08-15 04:04:06,32.2
2021-08-15 04:19:06,31.6
2021-08-15 04:34:06,32.4
2021-08-15 04:49:06,32.4
2021-08-15 05:04:06,31.2
2021-08-15 05:19:06,32.0
2021-08-15 05:34:06,31.9
2021-08-15 05:49:06,28.6
2021-08-15 06:04:06,30.4
2021-08-15 06:19:06,31.6
2021-08-15 06:34:06,31.2
2021-08-15 06:49:06,33.0
2021-08-15 07:04:06,35.8
2021-08-15 07:19:06,34.0
2021-08-15 07:34:06,30.0
2021-08-15 07:49:06,30.0
2021-08-15 08:04:06,32.1
2021-08-15 08:19:06,33.4
2021-08-15 08:34:06,36.7
2021-08-15 08:49:06,31.3
2021-08-15 09:04:06,32.1
2021-08-15 09:19:06,30.2
2021-08-15 09:34:06,28.3
2021-08-15 09:49:06,29.0
2021-08-15 10:04:06,27.9
2021-08-15 10:19:06,27.4
2021-08-15 10:34:06,27.1
2021-08-15 10:49:06,26.8
2021-08-15 11:04:06,26.3
2021-08-15 11:19:06,26.3
2021-08-15 11:34:06,26.3
2021-08-15 11:49:06,26.3
2021-08-15 12:04:06,26.5
2021-08-15 12:19:06,26.4
2021-08-15 12:34:06,26.2
2021-08-15 12:49:06,26.1
2021-08-15 13:04:06,25.9
2021-08-15 13:19:06,26.1
2021-08-15 13:34:06,26.1
2021-08-15 13:49:06,26.2
2021-08-15 14:04:06,25.8
2021-08-15 14:19:06,25.5
2021-08-15 14:34:06,25.7
2021-08-15 14:49:06,25.9
2021-08-15 15:04:06,25.7
2021-08-15 15:19:06,25.7
2021-08-15 15:34:06,25.7
2021-08-15 15:49:06,25.4
2021-08-15 16:04:06,25.6
2021-08-15 16:19:06,25.6
2021-08-15 16:34:06,25.6
2021-08-15 16:49:06,25.5
2021-08-15 17:04:06,25.5
2021-08-15 17:19:06,25.8
2021-08-15 17:34:06,26.2
2021-08-15 17:49:06,25.9
2021-08-15 18:04:06,25.6
2021-08-15 18:19:06,25.3
2021-08-15 18:34:06,25.1
2021-08-15 18:49:06,25.3
2021-08-15 19:04:06,25.2
2021-08-15 19:19:06,24.6
2021-08-15 19:34:06,24.4
2021-08-15 19:49:06,24.3
2021-08-15 20:04:06,24.2
2021-08-15 20:19:06,24.4
2021-08-15 20:34:06,24.3
2021-08-15 20:49:06,24.1
2021-08-15 21:04:06,24.2
2021-08-15 21:19:06,24.0
2021-08-15 21:34:06,24.4
2021-08-15 21:49:06,24.3
2021-08-15 22:04:06,24.4
2021-08-15 22:19:06,24.7
2021-08-15 22:34:06,25.1
2021-08-15 22:49:06,25.6
2021-08-15 23:04:06,25.8
2021-08-15 23:19:06,26.0
2021-08-15 23:34:06,27.6
2021-08-15 23:49:06,26.8
2021-08-16 00:04:06,27.3
2021-08-16 00:19:06,27.6
2021-08-16 00:34:06,28.7
2021-08-16 00:49:06,28.7
2021-08-16 01:04:06,32.9
2021-08-16 01:19:06,31.8
2021-08-16 01:34:06,32.0
2021-08-16 01:49:06,30.9
2021-08-16 02:04:06,29.1
2021-08-16 02:19:06,30.2
2021-08-16 02:34:06,30.4
2021-08-16 02:49:06,28.6
2021-08-16 03:04:06,32.6
2021-08-16 03:19:06,38.6
2021-08-16 03:34:06,35.6
2021-08-16 03:49:06,37.8
2021-08-16 04:04:06,37.4
2021-08-16 04:19:06,36.8
2021-08-16 04:34:06,37.5
2021-08-16 04:49:06,42.8
2021-08-16 05:04:06,36.5
2021-08-16 05:19:06,35.4
2021-08-16 05:34:06,31.3
2021-08-16 05:49:06,34.1
2021-08-16 06:04:06,33.0
2021-08-16 06:19:06,32.3
2021-08-16 06:34:06,32.4
2021-08-16 06:49:06,32.8
2021-08-16 07:04:06,33.5
2021-08-16 07:19:06,34.4
2021-08-16 07:34:06,34.9
2021-08-16 07:49:06,39.4
2021-08-16 08:04:06,38.4
2021-08-16 08:19:06,38.3
2021-08-16 08:34:06,36.7
2021-08-16 08:49:06,36.5
2021-08-16 09:04:06,36.9
2021-08-16 09:19:06,32.7
2021-08-16 09:34:06,30.4
2021-08-16 09:49:06,29.6
2021-08-16 10:04:06,29.2
2021-08-16 10:19:06,28.7
2021-08-16 10:34:06,28.2
2021-08-16 10:49:06,27.8
2021-08-16 11:04:06,27.2
